GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,16,97,3,3,5,28,4,8,1,8
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,14,97,3,3,4,28,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,14,97,3,3,4,28,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,14,97,3,3,4,28,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,14,97,3,3,4,28,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,14,97,3,3,4,28,3,8,0,8
spring-boot-skeleton,com.nnk.springboot.services.impl,UserServiceImpl,12,61,0,0,2,15,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.services.impl,RatingServiceImpl,0,61,0,0,0,15,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.services.impl,CustomUserDetailsService,44,10,2,0,9,4,2,2,1,2
spring-boot-skeleton,com.nnk.springboot.services.impl,CurvePointServiceImpl,0,61,0,0,0,15,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.services.impl,BidListServiceImpl,11,62,0,0,3,16,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.services.impl,RuleNameServiceImpl,0,61,0,0,0,15,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.services.impl,TradeServiceImpl,0,61,0,0,0,15,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.config,CustomAuthenticationSuccessHandler,26,7,2,0,8,2,2,2,1,2
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,100,0,0,0,29,0,8,0,8
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,Trade,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,BidList,0,3,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.domain,User,0,35,0,0,0,15,0,10,0,10
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,0,3,0,0,0,2,0,1,0,1
